id,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles
22,bis(4-hydroxyphenyl)methanone,Z46,611-99-4,214,O=C(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2,CCOC(C)=O,Etyl acetate,0.610777606,0.081243172,O=C(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2.CCOC(C)=O
23,(R)-(_)-1-Indanol,CA170,697-64-3,134,C1CC2=CC=CC=C2C1O,CCOC(C)=O,Etyl acetate,0.280608699,0.119920691,C1CC2=CC=CC=C2C1O.CCOC(C)=O
24,,Z22,626-05-1,235,BrC1=CC=CC(Br)=N1,CCOC(C)=O,Etyl acetate,0.23064941,0.079149712,BrC1=CC=CC(Br)=N1.CCOC(C)=O
25,"4,4-(Hexafluoroisopropylidene)bis(benzoic acid)",CA36,1171-47-7,392.0483281,FC(F)(F)C(C1=CC=C(C=C1)C(O)=O)(C2=CC=C(C=C2)C(O)=O)C(F)(F)F,CCOC(C)=O,Etyl acetate,0.79687127,0.071999242,FC(F)(F)C(C1=CC=C(C=C1)C(O)=O)(C2=CC=C(C=C2)C(O)=O)C(F)(F)F.CCOC(C)=O
26,1-Boc-3-pyrrolidinol,CB175,103057-44-9,187.24,CC(C)(C)OC(=O)N1CCC(C1)O,CCOC(C)=O,Etyl acetate,0.574013173,0.096774072,CC(C)(C)OC(=O)N1CCC(C1)O.CCOC(C)=O
27,"1,2,3,4-Tetrahydro-1-naphthol",CB115,529-33-9,148.088815,OC1CCCC2=C1C=CC=C2,CCOC(C)=O,Etyl acetate,0.290873243,0.10319782,OC1CCCC2=C1C=CC=C2.CCOC(C)=O
28,"2,5-Dimethylphenol",CQ44,95-87-4,122,OC1=CC(C)=CC=C1C,CCOC(C)=O,Etyl acetate,0.358557994,0.042891045,OC1=CC(C)=CC=C1C.CCOC(C)=O
29,"2,5-Dimethylphenol",CQ44,95-87-4,122,OC1=CC(C)=CC=C1C,CCOC(C)=O,Etyl acetate,0.358557994,0.073203714,OC1=CC(C)=CC=C1C.CCOC(C)=O
30,"3,4-Dichloroaniline",CB90,95-76-1,160.98,NC1=CC=C(Cl)C(Cl)=C1,CCOC(C)=O,Etyl acetate,0.280901491,0.115536919,NC1=CC=C(Cl)C(Cl)=C1.CCOC(C)=O
31,"3,4-Dichloroaniline",CB90,95-76-1,160.9799045,NC1=CC=C(Cl)C(Cl)=C1,CCOC(C)=O,Etyl acetate,0.280901491,0.123391143,NC1=CC=C(Cl)C(Cl)=C1.CCOC(C)=O
32,"1,3,5-Trimethoxybenzene",CK30,621-23-8,168.0786442,COC1=CC(OC)=CC(OC)=C1,CCOC(C)=O,Etyl acetate,0.440971163,0.181892548,COC1=CC(OC)=CC(OC)=C1.CCOC(C)=O
33,Menadione,AP28,58-27-5,172,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O,CCOC(C)=O,Etyl acetate,0.417824764,0.098462652,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O.CCOC(C)=O
34,"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.7945517,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CCOC(C)=O,Etyl acetate,0.438540004,0.057342029,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-].CCOC(C)=O
35,"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.79,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CCOC(C)=O,Etyl acetate,0.438540004,0.092665146,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-].CCOC(C)=O
36,"1,3,5-Tris(4-aminophenyl)benzene",CA144,118727-34-7,351.44,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,CCOC(C)=O,Etyl acetate,0.778587477,0.097907901,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1.CCOC(C)=O
37,2-Methylanisole,CJ7,578-58-5,122,COC1=CC=CC=C1C,CCOC(C)=O,Etyl acetate,0.223732871,0.037414867,COC1=CC=CC=C1C.CCOC(C)=O
38,Diclofenac sodium salt,AP33,15307-79-6,316.9986282,OC(CC1=C(C=CC=C1)NC2=C(C=CC=C2Cl)Cl)=O,CCOC(C)=O,Etyl acetate,0.767043781,0.062142893,OC(CC1=C(C=CC=C1)NC2=C(C=CC=C2Cl)Cl)=O.CCOC(C)=O
39,4-Ethynyltoluene,CA104,766-97-2,116.16,C#Cc1ccc(C)cc1,CCOC(C)=O,Etyl acetate,0.203707294,0.083128016,C#Cc1ccc(C)cc1.CCOC(C)=O
40,Methyl 4-bromobenzoate,CJ70,619-42-1,215.05,BrC1=CC=C(C(OC)=O)C=C1,CCOC(C)=O,Etyl acetate,0.302137677,0.110224987,BrC1=CC=C(C(OC)=O)C=C1.CCOC(C)=O
41,"4,4'-Difluorobenzophenone",CO28,345-92-6,218,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,CCOC(C)=O,Etyl acetate,0.506496173,0.161368976,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2.CCOC(C)=O
42,"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217,COC1=CC(OC)=CC(Br)=C1,CCOC(C)=O,Etyl acetate,0.423719222,0.114930821,COC1=CC(OC)=CC(Br)=C1.CCOC(C)=O
43,Thymol blue,CB111,76-61-9,466.59,Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(O)cc2C)OS(=O)(=O)c2ccccc21,CCOC(C)=O,Etyl acetate,0.894923439,0.03114502,Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(O)cc2C)OS(=O)(=O)c2ccccc21.CCOC(C)=O
44,4-Iodoanisole,CC26,696-62-8,234.03,COc1ccc(I)cc1,CCOC(C)=O,Etyl acetate,0.171234704,0.140182641,COc1ccc(I)cc1.CCOC(C)=O
45,2-Hydroxy-4-methoxybenzophenone,CC 19,131-57-7,228,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,CCOC(C)=O,Etyl acetate,0.617061901,0.083295143,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O.CCOC(C)=O
46,4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CCOC(C)=O,Etyl acetate,0.187277038,0.162217905,Cc1ccc(I)cc1.CCOC(C)=O
47,4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CCOC(C)=O,Etyl acetate,0.187277038,0.04133288,Cc1ccc(I)cc1.CCOC(C)=O
48,Mometasone Furoate,AP11,83919-23-7,520.141944,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,CCOC(C)=O,Etyl acetate,0.856173827,0.037210261,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C.CCOC(C)=O
49,"4,4'-Dimethylbenzophenone",Z63,611-97-2,210,CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C,CCOC(C)=O,Etyl acetate,0.537904439,0.087953034,CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C.CCOC(C)=O
50,1-Methylnaphthalene,CC25,90-12-0,142,CC1=CC=CC2=CC=CC=C12,CCOC(C)=O,Etyl acetate,0.287379299,0.066835807,CC1=CC=CC2=CC=CC=C12.CCOC(C)=O
51,n-Propylbenzene,CO33,103-65-1,120,CCCC1=CC=CC=C1,CCOC(C)=O,Etyl acetate,0.235168327,0.085862445,CCCC1=CC=CC=C1.CCOC(C)=O
52,mesitylene,CM6,108-67-8,120.19,CC1=CC(=CC(=C1)C)C,CCOC(C)=O,Etyl acetate,0.42403768,0.091701048,CC1=CC(=CC(=C1)C)C.CCOC(C)=O
53,,Z30,626-00-6,330,IC1=CC(I)=CC=C1,CCOC(C)=O,Etyl acetate,0.237284802,0.08134396,IC1=CC(I)=CC=C1.CCOC(C)=O
54,"1,3-Diiodobenzene",Z35,626-00-6,329,IC1=CC(I)=CC=C1,CCOC(C)=O,Etyl acetate,0.237284802,0.121249775,IC1=CC(I)=CC=C1.CCOC(C)=O
55,"Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide",CB44,75980-60-8,348.37,CC1=CC(=C(C(=C1)C)C(=O)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C,CCOC(C)=O,Etyl acetate,0.823301592,0.044923798,CC1=CC(=C(C(=C1)C)C(=O)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C.CCOC(C)=O
56,Diphenylacetylene,CA150,501-65-5,178.23,C(#Cc1ccccc1)c1ccccc1,CCOC(C)=O,Etyl acetate,0.404167256,0.104816459,C(#Cc1ccccc1)c1ccccc1.CCOC(C)=O
57,Triptycene,CB109,477-75-8,254,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35,CCOC(C)=O,Etyl acetate,0.75417548,0.059553724,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35.CCOC(C)=O
58,LCE-079,CC94,,402.5,C1C=CC=C(OC2=CC=C(S(=O)(=O)C3C=CC(OC4=CC=CC=C4)=CC=3)C=C2)C=1,CCOC(C)=O,Etyl acetate,0.783011941,0.054111781,C1C=CC=C(OC2=CC=C(S(=O)(=O)C3C=CC(OC4=CC=CC=C4)=CC=3)C=C2)C=1.CCOC(C)=O
59,,Z49,14348-75-5,336,O=C1C2=C(C3=C1C=C(Br)C=C3)C=CC(Br)=C2,CCOC(C)=O,Etyl acetate,0.623976082,0.056179735,O=C1C2=C(C3=C1C=C(Br)C=C3)C=CC(Br)=C2.CCOC(C)=O
60,,Z40,1074-24-4,263,CC1=CC(Br)=C(C)C=C1Br,CCOC(C)=O,Etyl acetate,0.473066871,0.101321998,CC1=CC(Br)=C(C)C=C1Br.CCOC(C)=O
61,"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate",CA81,6197-30-4,361.48,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,CCOC(C)=O,Etyl acetate,0.705448427,0.092181259,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1.CCOC(C)=O
62,"2,4-Diphenyl-4-methyl-1-pentene",CJ63,6362-80-7,236.35,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,CCOC(C)=O,Etyl acetate,0.705460281,0.049904083,CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2.CCOC(C)=O
63,"1,3,5-tri(propan-2-yl)benzene",Z81,717-74-8,204,CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,CCOC(C)=O,Etyl acetate,0.652808563,0.092222943,CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C.CCOC(C)=O
64,_-Caryophyllene,AP59,87-44-5,204.35,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,CCOC(C)=O,Etyl acetate,0.731530081,0.074002665,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C.CCOC(C)=O
65,5-Aminoindole,CA38,5192-03-0,132.16,Nc1ccc2[nH]ccc2c1,CC(O)C,2-Propanol,0.238719212,0.086324401,Nc1ccc2[nH]ccc2c1.CC(O)C
66,4-Acetoamidophenol,AP37,103-90-2,151,OC1=CC=C(NC(C)=O)C=C1,CC(O)C,2-Propanol,0.472024848,0.058279935,OC1=CC=C(NC(C)=O)C=C1.CC(O)C
67,"1-Phenyl-1,2-ethanediol",CC79,93-56-1,138,C1=CC=C(C=C1)C(CO)O,CC(O)C,2-Propanol,0.206316038,0.028253093,C1=CC=C(C=C1)C(CO)O.CC(O)C
68,p-Anisidine,CQ24,104-94-9,123.0684139,NC1=CC=C(OC)C=C1,CC(O)C,2-Propanol,0.116215351,0.016517083,NC1=CC=C(OC)C=C1.CC(O)C
69,3-Fluoroaniline,CB145,372-19-0,111.0484274,NC1=CC=CC(F)=C1,CC(O)C,2-Propanol,0.112853336,0.004571941,NC1=CC=CC(F)=C1.CC(O)C
70,Benzimidazole,CC12,51-17-2,118.0530982,C12=CC=CC=C1NC=N2,CC(O)C,2-Propanol,0.065315037,0.056759811,C12=CC=CC=C1NC=N2.CC(O)C
71,7-Fluoroisatin,CB139,317-20-4,165.0226066,O=C1NC2=C(C=CC=C2F)C1=O,CC(O)C,2-Propanol,0.426525929,0.0242402,O=C1NC2=C(C=CC=C2F)C1=O.CC(O)C
72,2-phenylbutanoic acid,CK 18,90-27-7,164,CCC(C1=CC=CC=C1)C(=O)O,CC(O)C,2-Propanol,0.563079866,0.051309256,CCC(C1=CC=CC=C1)C(=O)O.CC(O)C
73,2-Phenylbutyric acid,CK18,90-27-7,164.2,CCC(C(=O)O)c1ccccc1,CC(O)C,2-Propanol,0.563079868,0.022163096,CCC(C(=O)O)c1ccccc1.CC(O)C
74,CIPROFLOXACIN,AP40,85721-33-1,331.3,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,CC(O)C,2-Propanol,0.900543954,0.014059159,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.CC(O)C
75,2-bromo-6-nitrophenol,CB150,13073-25-1,216.9374551,OC1=C([N+]([O-])=O)C=CC=C1Br,CC(O)C,2-Propanol,0.2294858,0.015979501,OC1=C([N+]([O-])=O)C=CC=C1Br.CC(O)C
76,"2,6-Lutidine",CC50,108-48-5,107,CC1=NC(C)=CC=C1,CC(O)C,2-Propanol,0.212595841,0.071762407,CC1=NC(C)=CC=C1.CC(O)C
77,"3,5-Difluorobenzonitrile",CA78,64248-63-1,139.0233555,N#CC1=CC(F)=CC(F)=C1,CC(O)C,2-Propanol,0.25221003,0.084687574,N#CC1=CC(F)=CC(F)=C1.CC(O)C
78,m-Cresol GPR RECTAPUR�,"CM23, Y1, Y10",108-39-4,108.0575149,CC1=CC(O)=CC=C1,CC(O)C,2-Propanol,0.228102926,0.012732993,CC1=CC(O)=CC=C1.CC(O)C
79,Oxolinic acid,RB41,14698-29-4,261.0637225,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O,CC(O)C,2-Propanol,0.801378209,0.055276463,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O.CC(O)C
80,(R)-(_)-1-Indanol,CA170,697-64-3,134,C1CC2=CC=CC=C2C1O,CC(O)C,2-Propanol,0.239551238,0.020933874,C1CC2=CC=CC=C2C1O.CC(O)C
81,Piroxicam,RB38,36322-90-4,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CC(O)C,2-Propanol,0.798400548,0.038540979,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CC(O)C
82,"2,4,6-trimethylbenzene-1,3,5-tricarbaldehyde",CA188,119198-88-8,204.22,Cc1c(C=O)c(C)c(C=O)c(C)c1C=O,CC(O)C,2-Propanol,0.582722377,0.070471284,Cc1c(C=O)c(C)c(C=O)c(C)c1C=O.CC(O)C
83,"2,5 dimethyl anilin",CC46,95-78-3,121.0891494,NC1=CC(C)=CC=C1C,CC(O)C,2-Propanol,0.27395461,0.016167269,NC1=CC(C)=CC=C1C.CC(O)C
84,2-BROMO-1-PHENYLETHAN-1-OL,CA228,2425-28-7,201.1,C1=CC=C(C=C1)C(CBr)O,CC(O)C,2-Propanol,0.198403844,0.300156385,C1=CC=C(C=C1)C(CBr)O.CC(O)C
85,"4,4-(Hexafluoroisopropylidene)bis(benzoic acid)",CA36,1171-47-7,392.0483281,FC(F)(F)C(C1=CC=C(C=C1)C(O)=O)(C2=CC=C(C=C2)C(O)=O)C(F)(F)F,CC(O)C,2-Propanol,0.826193711,0.001574506,FC(F)(F)C(C1=CC=C(C=C1)C(O)=O)(C2=CC=C(C=C2)C(O)=O)C(F)(F)F.CC(O)C
86,6-BROMOOXINDOLE,CA121,99365-40-9,210.9632759,O=C1NC2=C(C=CC(Br)=C2)C1,CC(O)C,2-Propanol,0.432132254,0.037152422,O=C1NC2=C(C=CC(Br)=C2)C1.CC(O)C
87,"2,5-Dimethylphenol",CQ44,95-87-4,122,OC1=CC(C)=CC=C1C,CC(O)C,2-Propanol,0.322066016,0.022871494,OC1=CC(C)=CC=C1C.CC(O)C
88,"4,5-dichlorophthalonitrile",CP8,139152-08-2,197,C1=C(C(=CC(=C1Cl)Cl)C#N)C#N,CC(O)C,2-Propanol,0.382876228,0.185901218,C1=C(C(=CC(=C1Cl)Cl)C#N)C#N.CC(O)C
89,"2,5-Dimethylphenol",CQ25,95-87-4,122.0731649,OC1=CC(C)=CC=C1C,CC(O)C,2-Propanol,0.322066016,0.019949428,OC1=CC(C)=CC=C1C.CC(O)C
90,"3,4-Dichloroaniline",CB90,95-76-1,160.98,NC1=CC=C(Cl)C(Cl)=C1,CC(O)C,2-Propanol,0.223529639,0.023824061,NC1=CC=C(Cl)C(Cl)=C1.CC(O)C
91,Phenylacetylene,RB13,536-74-3,102.13,C#Cc1ccccc1,CC(O)C,2-Propanol,0.074324314,0.008467358,C#Cc1ccccc1.CC(O)C
92,1-(4-BROMOPHENYL)ETHANOL,RC22,5391-88-8,201.1,CC(C1=CC=C(C=C1)Br)O,CC(O)C,2-Propanol,0.223016809,0.073821067,CC(C1=CC=C(C=C1)Br)O.CC(O)C
93,pyrimethanie (mebendazole),RB23,31431-39-7,295.0956913,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,CC(O)C,2-Propanol,0.820930784,0.015564859,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3.CC(O)C
94,"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.79,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CC(O)C,2-Propanol,0.433215531,0.434027132,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-].CC(O)C
95,"1,3,5-Tris(4-aminophenyl)benzene",CA144,118727-34-7,351.44,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,CC(O)C,2-Propanol,0.804094711,0.012114465,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1.CC(O)C
96,4-Chloroindole,"CE3, RSY39",25235-85-2,151.6,C1=CC2=C(C=CN2)C(=C1)Cl,CC(O)C,2-Propanol,0.236644223,0.045085524,C1=CC2=C(C=CN2)C(=C1)Cl.CC(O)C
97,2-Pheylphenol,CQ4,90-43-7,170.0731649,OC1=CC=CC=C1C2=CC=CC=C2,CC(O)C,2-Propanol,0.446560192,0.041054589,OC1=CC=CC=C1C2=CC=CC=C2.CC(O)C
98,5-chlorosalicylanilide,CE19,4638-48-6,247.7,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O,CC(O)C,2-Propanol,0.639755207,0.048030521,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O.CC(O)C
99,Amlodipine,CE22,88150-42-9,408.9,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CC(O)C,2-Propanol,0.846325298,0.012340941,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.CC(O)C
100,4-Bromoanisole,CC23,104-92-7,185.9680269,COC1=CC=C(Br)C=C1,CC(O)C,2-Propanol,0.110895354,0.013424513,COC1=CC=C(Br)C=C1.CC(O)C
101,Methyl 4-bromobenzoate,CJ70,619-42-1,215.05,BrC1=CC=C(C(OC)=O)C=C1,CC(O)C,2-Propanol,0.257873851,0.023817339,BrC1=CC=C(C(OC)=O)C=C1.CC(O)C
102,"4,4'-Difluorobenzophenone",CO28,345-92-6,218,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,CC(O)C,2-Propanol,0.50947098,0.041559094,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2.CC(O)C
103,Benzbromarone,RB30,3562-84-3,421.9153184,O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC,CC(O)C,2-Propanol,0.832334625,0.052426147,O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC.CC(O)C
104,Fenbendazole,RB24,43210-67-9,299.0728477,COC(NC1=NC2=C(C=C(SC3=CC=CC=C3)C=C2)N1)=O,CC(O)C,2-Propanol,0.773155995,0.053072472,COC(NC1=NC2=C(C=C(SC3=CC=CC=C3)C=C2)N1)=O.CC(O)C
105,2-Hydroxy-4-methoxybenzophenone,CC 19,131-57-7,228,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,CC(O)C,2-Propanol,0.641153609,0.044363189,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O.CC(O)C
106,Rifaximin,AP63,80621-81-4,785.9,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C,CC(O)C,2-Propanol,0.927810839,0.005758866,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C.CC(O)C
107,9-(2-Hydroxyethyl)anthracene,CA139,54060-73-0,222.1044651,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13,CC(O)C,2-Propanol,0.696790685,0.036710063,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13.CC(O)C
108,4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CC(O)C,2-Propanol,0.123955907,0.01833214,Cc1ccc(I)cc1.CC(O)C
109,Tebuconazole,RB40,107534-96-3,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CC(O)C,2-Propanol,0.798400548,0.037450134,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CC(O)C
110,Fluorene,CB78,86-73-7,166.22,c1ccc2c(c1)Cc1ccccc1-2,CC(O)C,2-Propanol,0.441477715,0.137427041,c1ccc2c(c1)Cc1ccccc1-2.CC(O)C
